doc_file,heading,file,score,label
docs/api.md,PATCH /api/tasks/:id/status,frontend/src/api/client.js,0.64,FALSE
docs/api.md,PATCH /api/tasks/:id/status,backend/services/tasks.py,0.64,TRUE
docs/api.md,PATCH /api/tasks/:id/status,backend/models/task.py,0.59,TRUE
docs/api.md,PATCH /api/tasks/:id/status,backend/app.py,0.55,TRUE
docs/api.md,DELETE /api/tasks/:id,frontend/src/api/client.js,0.73,FALSE
docs/api.md,DELETE /api/tasks/:id,backend/services/tasks.py,0.7,TRUE
docs/api.md,DELETE /api/tasks/:id,backend/app.py,0.57,TRUE
docs/api.md,DELETE /api/tasks/:id,backend/cli.py,0.52,FALSE
docs/architecture.md,Overview,backend/app.py,0.61,FALSE
docs/architecture.md,Overview,frontend/src/api/client.js,0.55,FALSE
docs/architecture.md,Overview,backend/services/tasks.py,0.55,FALSE
docs/architecture.md,Overview,backend/config.py,0.53,FALSE
docs/architecture.md,Backend,backend/app.py,0.7,TRUE
docs/architecture.md,HTTP Server (`app.py`),backend/app.py,0.89,TRUE
docs/architecture.md,CLI (`cli.py`),backend/cli.py,0.91,TRUE
docs/architecture.md,Database (`database.py`),backend/database.py,0.68,TRUE
docs/architecture.md,Database (`database.py`),backend/services/tasks.py,0.58,FALSE
docs/architecture.md,Models,backend/models/task.py,0.87,TRUE
docs/architecture.md,Models,backend/models/user.py,0.76,TRUE
docs/architecture.md,Models,backend/services/tasks.py,0.52,FALSE
docs/architecture.md,Services,backend/services/auth.py,0.81,TRUE
docs/architecture.md,Services,backend/services/tasks.py,0.75,TRUE
docs/architecture.md,Services,frontend/src/api/client.js,0.54,FALSE
docs/architecture.md,Services,backend/cli.py,0.51,FALSE
docs/architecture.md,Frontend,frontend/src/index.jsx,0.56,FALSE
docs/architecture.md,API Client (`api/client.js`),frontend/src/api/client.js,0.86,TRUE
docs/architecture.md,Hooks,frontend/src/hooks/useTasks.js,0.76,TRUE
docs/architecture.md,Hooks,frontend/src/hooks/useAuth.js,0.7,TRUE
docs/architecture.md,Hooks,frontend/src/App.jsx,0.66,FALSE
docs/architecture.md,Hooks,frontend/src/components/Dashboard.jsx,0.66,FALSE
docs/architecture.md,Hooks,frontend/src/api/client.js,0.52,FALSE
docs/architecture.md,Components,frontend/src/components/Dashboard.jsx,0.7,TRUE
docs/architecture.md,Components,frontend/src/components/LoginForm.jsx,0.63,TRUE
docs/architecture.md,Components,frontend/src/components/TaskList.jsx,0.58,TRUE
docs/architecture.md,Components,frontend/src/App.jsx,0.54,TRUE
docs/architecture.md,Authentication Flow,backend/app.py,0.79,TRUE
docs/architecture.md,Authentication Flow,backend/cli.py,0.75,TRUE
docs/architecture.md,Authentication Flow,backend/services/auth.py,0.73,TRUE
docs/architecture.md,Authentication Flow,frontend/src/api/client.js,0.64,TRUE
docs/cli.md,CLI Reference,backend/cli.py,0.66,FALSE
docs/cli.md,Usage,backend/cli.py,0.56,TRUE
docs/cli.md,Commands,backend/cli.py,0.52,FALSE
docs/cli.md,init,backend/cli.py,0.71,TRUE
docs/cli.md,init,backend/database.py,0.62,TRUE
docs/cli.md,config,backend/cli.py,0.65,TRUE
docs/cli.md,register,backend/cli.py,0.79,TRUE
docs/cli.md,register,backend/services/auth.py,0.55,TRUE
docs/cli.md,register,frontend/src/api/client.js,0.54,FALSE
docs/cli.md,register,backend/app.py,0.53,FALSE
docs/cli.md,login,backend/cli.py,0.81,TRUE
docs/cli.md,login,backend/app.py,0.55,FALSE
docs/cli.md,login,backend/services/auth.py,0.53,TRUE
docs/cli.md,Task Subcommands,backend/cli.py,0.75,TRUE
docs/cli.md,task add,backend/cli.py,0.7,TRUE
docs/cli.md,task add,backend/services/tasks.py,0.65,TRUE
docs/cli.md,task list,backend/cli.py,0.75,TRUE
docs/cli.md,task list,backend/services/tasks.py,0.69,TRUE
docs/cli.md,task list,frontend/src/api/client.js,0.54,FALSE
docs/cli.md,task list,backend/app.py,0.52,FALSE
docs/cli.md,task status,backend/services/tasks.py,0.7,TRUE
docs/cli.md,task status,backend/cli.py,0.64,TRUE
docs/cli.md,task status,backend/models/task.py,0.64,TRUE
docs/cli.md,task status,frontend/src/api/client.js,0.55,FALSE
docs/cli.md,task delete,backend/cli.py,0.79,TRUE
docs/cli.md,task delete,backend/services/tasks.py,0.75,TRUE
docs/cli.md,task delete,frontend/src/api/client.js,0.56,FALSE
docs/cli.md,task delete,backend/app.py,0.52,FALSE
docs/cli.md,task stats,backend/cli.py,0.74,TRUE
docs/cli.md,task stats,backend/services/tasks.py,0.62,TRUE
docs/cli.md,task stats,frontend/src/api/client.js,0.58,FALSE
docs/cli.md,task stats,backend/app.py,0.55,FALSE
docs/cli.md,Examples,backend/cli.py,0.86,TRUE
docs/cli.md,Examples,backend/services/tasks.py,0.71,FALSE
docs/cli.md,Examples,backend/app.py,0.56,FALSE
docs/cli.md,Examples,frontend/src/api/client.js,0.55,FALSE
docs/code-snippets.md,Password Hashing,backend/services/auth.py,0.87,TRUE
docs/code-snippets.md,Token Generation,backend/services/auth.py,0.79,TRUE
docs/code-snippets.md,Token Generation,backend/cli.py,0.59,FALSE
docs/code-snippets.md,Token Generation,backend/app.py,0.57,FALSE
docs/code-snippets.md,Status Transition Guard,backend/models/task.py,0.75,TRUE
docs/code-snippets.md,Status Transition Guard,backend/services/tasks.py,0.55,TRUE
docs/code-snippets.md,API Route Registration,backend/app.py,0.82,TRUE
docs/code-snippets.md,React Task Hook,frontend/src/hooks/useTasks.js,0.79,TRUE
docs/code-snippets.md,React Task Hook,frontend/src/components/Dashboard.jsx,0.76,FALSE
docs/code-snippets.md,React Task Hook,frontend/src/api/client.js,0.56,FALSE
docs/code-snippets.md,API Client Error Handling,frontend/src/api/client.js,0.59,TRUE
docs/code-snippets.md,CLI Token Storage,backend/cli.py,0.89,TRUE
docs/code-snippets.md,CLI Token Storage,backend/app.py,0.51,FALSE
docs/code-snippets.md,Task Statistics Aggregation,backend/services/tasks.py,0.7,TRUE
docs/code-snippets.md,Task Statistics Aggregation,frontend/src/api/client.js,0.51,FALSE
docs/code-snippets.md,Task Statistics Aggregation,backend/cli.py,0.51,FALSE
docs/getting-started.md,Backend Setup,backend/cli.py,0.75,TRUE
docs/getting-started.md,Backend Setup,backend/config.py,0.71,TRUE
docs/getting-started.md,Backend Setup,backend/app.py,0.67,TRUE
docs/getting-started.md,Backend Setup,backend/database.py,0.52,FALSE
docs/getting-started.md,CLI Usage,backend/cli.py,0.88,TRUE
docs/getting-started.md,CLI Usage,backend/services/tasks.py,0.63,FALSE
docs/getting-started.md,CLI Usage,backend/app.py,0.53,FALSE
docs/getting-started.md,Configuration,backend/config.py,0.91,TRUE
docs/getting-started.md,Environment Variables,frontend/src/api/client.js,0.77,TRUE
